Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Year
SS Iyer (IND),20,1,1,0,2,0,-,-,2,-,0,0,2023
RK Singh (IND),2,1,1,0,2,1,2-Jan,2,2,6,0,0,2023
KIC Asalanka (SL),31,3,10.1,1,29,4,18-Apr,7.25,2.85,15.2,1,0,2023
JD Unadkat (IND),1,1,5,0,16,1,16-Jan,16,3.2,30,0,0,2023
H Thaker (CAN),5,5,43,3,144,6,27-Feb,24,3.34,43,0,0,2023
D Heyliger (CAN),2,2,13,0,45,1,Jan-34,45,3.46,78,0,0,2023
Arshdeep Singh (IND),3,3,27,1,95,10,May-37,9.5,3.51,16.2,1,1,2023
SSD Arachchige (SL),2,1,5,0,18,1,18-Jan,18,3.6,30,0,0,2023
MW Forde (WI),1,1,8,0,29,3,29-Mar,9.66,3.62,16,0,0,2023
LN Rajbanshi (NEP),12,12,95,7,347,18,20-May,19.27,3.65,31.6,1,1,2023
SN Netravalkar (USA),10,10,90,13,329,10,Mar-53,32.9,3.65,54,0,0,2023
BM Scholtz (NAM),11,11,99,11,366,12,Mar-67,30.5,3.69,49.5,0,0,2023
DC Drakes (WI),3,3,19,2,73,2,29-Feb,36.5,3.84,57,0,0,2023
RK Paudel (NEP),22,4,18.1,0,70,0,-,-,3.85,-,0,0,2023
G Motie (WI),6,6,52.3,1,206,10,Mar-36,20.6,3.92,31.5,0,0,2023
DS Airee (NEP),21,21,139.1,9,567,17,18-Mar,33.35,4.07,49.1,0,0,2023
Aayan Afzal Khan (UAE),22,22,196.2,10,801,27,21-Mar,29.66,4.07,43.6,0,0,2023
T Lungameni (NAM),6,6,50,6,204,10,20-Apr,20.4,4.08,30,1,0,2023
N Dutta (CAN),5,4,33,1,135,4,Feb-30,33.75,4.09,49.5,0,0,2023
B Mavuta (ZIM),5,3,20,0,83,3,Feb-37,27.66,4.15,40,0,0,2023
A Vala (PNG),13,12,83,5,349,12,21-Mar,29.08,4.2,41.5,0,0,2023
AC Agar (AUS),2,2,19,0,81,3,Feb-41,27,4.26,38,0,0,2023
V Kohli (IND),27,2,3.3,0,15,1,13-Jan,15,4.28,21,0,0,2023
Pratis GC (NEP),3,3,21,0,90,2,Jan-37,45,4.28,63,0,0,2023
Mohammad Nabi (AFG),20,20,139.3,4,601,18,28-Mar,33.38,4.3,46.5,0,0,2023
KA Maharaj (SA),18,18,153.1,8,663,27,Apr-33,24.55,4.32,34,2,0,2023
Pargat Singh (CAN),5,3,14,0,61,2,20-Jan,30.5,4.35,42,0,0,2023
MRJ Watt (SCOT),11,11,100.4,7,441,23,Apr-41,19.17,4.38,26.2,1,0,2023
Rohan Mustafa (UAE),24,24,177.2,11,779,25,31-Mar,31.16,4.39,42.5,0,0,2023
JJ Bumrah (IND),17,16,128.5,14,568,28,Apr-39,20.28,4.4,27.6,1,0,2023
R Trumpelmann (NAM),11,11,99,6,442,24,30-May,18.41,4.46,24.7,0,1,2023
Jay Odedra (OMA),6,6,35,0,157,5,31-Mar,31.4,4.48,42,0,0,2023
K Bhurtel (NEP),21,3,8,0,36,1,22-Jan,36,4.5,48,0,0,2023
R Ashwin (IND),3,3,27,1,122,5,Mar-41,24.4,4.51,32.4,0,0,2023
B McMullen (SCOT),11,11,81,1,366,16,May-34,22.87,4.51,30.3,0,1,2023
K Sinclair (WI),4,4,35.1,0,159,6,24-Apr,26.5,4.52,35.1,1,0,2023
S Mahmood (ENG),1,1,9,0,41,0,-,-,4.55,-,0,0,2023
Rashid Khan (AFG),17,17,158.3,4,724,20,Mar-37,36.2,4.56,47.5,0,0,2023
RA Jadeja (IND),26,23,189.5,6,874,31,May-33,28.19,4.6,36.7,0,1,2023
Kuldeep Yadav (IND),30,29,217.4,13,1004,49,25-May,20.48,4.61,26.6,2,1,2023
CW Perchard (JER),5,5,45,3,208,9,Mar-38,23.11,4.62,30,0,0,2023
WP Masakadza (ZIM),13,11,66.1,0,307,6,Mar-36,51.16,4.63,66.1,0,0,2023
NK Patel (USA),10,10,78.2,2,366,13,29-Mar,28.15,4.67,36.1,0,0,2023
GJ Maxwell (AUS),11,10,80.3,1,377,10,Apr-40,37.7,4.68,48.3,1,0,2023
Shakib Al Hasan (BAN),23,20,174,7,816,23,Apr-35,35.47,4.68,45.3,1,0,2023
HL Carlyon (JER),5,4,30,2,141,2,Feb-38,70.5,4.7,90,0,0,2023
