Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Year
R Ngarava (ZIM),14,12,100.1,8,471,20,Apr-43,23.55,4.7,30,1,0,2023
R Klein (NED),9,9,73.2,5,349,10,Feb-31,34.9,4.75,44,0,0,2023
Saad Bin Zafar (CAN),5,5,45,0,215,8,Mar-43,26.87,4.77,33.7,0,0,2023
HN Ya France (NAM),11,10,65.1,3,312,6,27-Feb,52,4.78,65.1,0,0,2023
Taskin Ahmed (BAN),18,17,137.3,10,659,26,Apr-44,25.34,4.79,31.7,1,0,2023
TW Hartley (ENG),2,1,10,0,48,0,-,-,4.8,-,0,0,2023
Naseem Shah (PAK),11,11,89.5,3,432,22,May-57,19.63,4.8,24.5,0,1,2023
SI Kamea (PNG),12,11,94.1,5,453,23,May-38,19.69,4.81,24.5,0,2,2023
CA Soper (PNG),13,13,94.2,8,454,15,25-May,30.26,4.81,37.7,1,1,2023
MA Leask (SCOT),11,10,64.2,2,310,14,24-Apr,22.14,4.81,27.5,1,0,2023
M Theekshana (SL),23,23,191.3,6,923,37,25-Apr,24.94,4.81,31,3,0,2023
CE McConchie (NZ),6,5,28,1,135,4,18-Feb,33.75,4.82,42,0,0,2023
R Hekure (PNG),13,13,80,4,386,17,13-May,22.7,4.82,28.2,0,1,2023
Avesh Khan (IND),3,3,23.5,3,115,6,27-Apr,19.16,4.82,23.8,1,0,2023
AD Mathews (SL),8,5,22.1,2,107,6,14-Feb,17.83,4.82,22.1,0,0,2023
B Muzarabani (ZIM),12,11,92,5,445,11,Mar-57,40.45,4.83,50.1,0,0,2023
WG Jacks (ENG),7,5,25,1,121,4,22-Mar,30.25,4.84,37.5,0,0,2023
S Lamichhane (NEP),21,21,195.2,9,948,43,25-May,22.04,4.85,27.2,2,1,2023
SM Sharif (SCOT),9,9,65.5,4,320,10,20-Apr,32,4.86,39.5,1,0,2023
JOA Gordon (CAN),5,5,41.2,1,202,12,Jun-43,16.83,4.88,20.6,0,1,2023
NP Kenjige (USA),11,10,88,3,431,8,Feb-41,53.87,4.89,66,0,0,2023
Hazrat Bilal (UAE),4,4,26,2,128,5,Apr-47,25.6,4.92,31.2,1,0,2023
Kaleem Sana (CAN),5,5,42,5,207,7,14-Mar,29.57,4.92,36,0,0,2023
Sikandar Raza (ZIM),16,14,107,0,529,15,Apr-55,35.26,4.94,42.8,1,0,2023
SC Williams (ZIM),9,7,42,2,208,6,Mar-41,34.66,4.95,42,0,0,2023
Rehan Ahmed (ENG),6,5,47,2,233,10,Apr-54,23.3,4.95,28.2,1,0,2023
AC Evans (SCOT),1,1,7,0,35,1,Jan-35,35,5,42,0,0,2023
S Fouche (NAM),7,5,26,1,130,6,Mar-46,21.66,5,26,0,0,2023
OP Stone (ENG),2,2,17,1,85,3,Feb-48,28.33,5,34,0,0,2023
JTS Sumerauer (JER),5,5,49,5,245,11,Apr-51,22.27,5,26.7,1,0,2023
Zahoor Khan (UAE),22,22,165.3,9,828,29,19-Mar,28.55,5,34.2,0,0,2023
MJ Santner (NZ),17,17,153.5,4,770,20,May-59,38.5,5,46.1,0,1,2023
MG Erasmus (NAM),11,7,37.5,1,190,8,23-Feb,23.75,5.02,28.3,0,0,2023
RL Chase (WI),9,9,74,3,372,8,Mar-77,46.5,5.02,55.5,0,0,2023
CB Sole (SCOT),8,8,68.5,5,347,14,Mar-33,24.78,5.04,29.5,0,0,2023
Kaleemullah (OMA),5,5,46,4,232,3,28-Jan,77.33,5.04,92,0,0,2023
Mujeeb Ur Rahman (AFG),20,20,179.5,8,907,22,Mar-33,41.22,5.04,49,0,0,2023
Nasum Ahmed (BAN),11,10,83.3,4,422,7,Mar-43,60.28,5.05,71.5,0,0,2023
AR McBrine (IRE),18,17,123,3,623,10,19-Feb,62.3,5.06,73.8,0,0,2023
PW Hasaranga (SL),14,14,112.4,7,571,28,24-Jun,20.39,5.06,24.1,0,3,2023
JC Archer (ENG),4,4,38,2,193,12,Jun-40,16.08,5.07,19,0,1,2023
CA Young (IRE),8,8,59,2,300,14,31-Mar,21.42,5.08,25.2,0,0,2023
Ali Khan (USA),8,8,59.2,4,302,19,Jul-32,15.89,5.08,18.7,0,1,2023
Akeem Jordan (WI),2,2,11,2,56,1,Jan-36,56,5.09,66,0,0,2023
MG Bracewell (NZ),6,6,44,0,224,5,Feb-44,44.8,5.09,52.8,0,0,2023
W Madhevere (ZIM),11,7,33,0,168,4,Mar-36,42,5.09,49.5,0,0,2023
Mahedi Hasan (BAN),8,8,65,1,331,12,Apr-71,27.58,5.09,32.5,1,0,2023
CN Ackermann (NED),12,12,72.2,3,370,7,Feb-39,52.85,5.11,62,0,0,2023
DM de Silva (SL),27,22,104.4,0,538,9,Mar-39,59.77,5.14,69.7,0,0,2023
C Floyd (NED),7,7,48,1,247,2,31-Jan,123.5,5.14,144,0,0,2023
Junaid Siddique (UAE),23,22,168.4,13,870,30,Mar-49,29,5.15,33.7,0,0,2023
TM Head (AUS),13,7,35,0,181,4,21-Feb,45.25,5.17,52.5,0,0,2023
N Vanua (PNG),11,10,61,3,316,4,14-Jan,79,5.18,91.5,0,0,2023
AJ Hosein (WI),9,9,85,4,441,13,Mar-59,33.92,5.18,39.2,0,0,2023
Kushal Malla (NEP),21,17,83,3,431,11,6-Feb,39.18,5.19,45.2,0,0,2023
Zeeshan Maqsood (OMA),7,7,61,1,317,7,Apr-32,45.28,5.19,52.2,1,0,2023
Jatinder Singh (OMA),9,2,5,0,26,1,11-Jan,26,5.2,30,0,0,2023
CR Woakes (ENG),14,14,100.1,3,522,16,Apr-54,32.62,5.21,37.5,1,0,2023
Aryan Lakra (UAE),14,10,47,4,245,6,Mar-38,40.83,5.21,47,0,0,2023
DJ Willey (ENG),10,10,74.5,7,391,16,Mar-34,24.43,5.22,28,0,0,2023
N Burger (SA),3,3,24.4,1,129,5,30-Mar,25.8,5.22,29.6,0,0,2023
K Rabada (SA),14,14,116.4,10,611,22,Mar-33,27.77,5.23,31.8,0,0,2023
FJ Klaassen (NED),5,5,45.3,1,239,7,Mar-41,34.14,5.25,39,0,0,2023
KR Mayers (WI),11,11,55.4,1,293,8,Feb-30,36.62,5.26,41.7,0,0,2023
AR Patel (IND),11,9,58,1,306,5,Feb-57,61.2,5.27,69.6,0,0,2023
A Dutt (NED),20,20,171.2,11,905,19,31-Mar,47.63,5.28,54.1,0,0,2023
Mohammed Siraj (IND),25,24,172.1,17,910,44,21-Jun,20.68,5.28,23.4,2,1,2023
BE Hendricks (SA),2,2,18.2,1,97,5,Mar-63,19.4,5.29,22,0,0,2023
MJ Henry (NZ),17,17,144.5,12,767,25,14-Mar,30.68,5.29,34.7,0,0,2023
MR Adair (IRE),20,20,156.4,11,832,29,Apr-40,28.68,5.31,32.4,2,0,2023
JR Hazlewood (AUS),16,16,140.1,10,747,24,Mar-38,31.12,5.32,35,0,0,2023
Mohammed Shami (IND),19,19,132.5,12,708,43,Jul-57,16.46,5.32,18.5,1,4,2023
RA Reifer (WI),1,1,3,0,16,1,16-Jan,16,5.33,18,0,0,2023
Sompal Kami (NEP),17,17,121.3,17,648,15,26-Mar,43.2,5.33,48.6,0,0,2023
Washington Sundar (IND),7,5,36,1,192,4,7-Feb,48,5.33,54,0,0,2023
G Singh (USA),11,4,16.5,1,90,5,15-Apr,18,5.34,20.2,1,0,2023
Rishad Hossain (BAN),2,2,12.2,0,66,0,-,-,5.35,-,0,0,2023
Mohammad Nawaz (3) (PAK),15,15,114,0,612,11,Apr-38,55.63,5.36,62.1,1,0,2023
GI Hume (IRE),12,12,81.3,4,438,20,Apr-34,21.9,5.37,24.4,2,0,2023
Ebadot Hossain (BAN),8,7,54.4,3,294,11,Apr-42,26.72,5.37,29.8,1,0,2023
B Evans (ZIM),7,6,37.5,3,204,4,Feb-66,51,5.39,56.7,0,0,2023
JO Holder (WI),7,7,59.5,7,323,6,Mar-34,53.83,5.39,59.8,0,0,2023
D Birrell (JER),1,1,10,0,54,1,Jan-54,54,5.4,60,0,0,2023
CM McBride (SCOT),11,3,10,0,54,1,24-Jan,54,5.4,60,0,0,2023
PWA Mulder (SA),3,3,15,0,81,2,26-Jan,40.5,5.4,45,0,0,2023
MD Shanaka (SL),24,21,85,3,459,13,28-Mar,35.3,5.4,39.2,0,0,2023
MW Short (AUS),2,2,10,0,54,0,-,-,5.4,-,0,0,2023
Khaled Ahmed (BAN),2,2,13.2,1,72,3,Mar-60,24,5.4,26.6,0,0,2023
J Kariko (PNG),3,3,21,0,114,5,Apr-45,22.8,5.42,25.2,1,0,2023
Mehidy Hasan Miraz (BAN),27,25,178,8,967,23,25-Mar,42.04,5.43,46.4,0,0,2023
Taijul Islam (BAN),6,6,48,0,261,10,Mar-54,26.1,5.43,28.8,0,0,2023
LS Livingstone (ENG),13,12,69.2,1,378,11,16-Mar,34.36,5.45,37.8,0,0,2023
Aarif Sheikh (NEP),16,10,38.3,0,210,2,30-Jan,105,5.45,115.5,0,0,2023
TA Boult (NZ),15,14,121.1,7,662,24,May-51,27.58,5.46,30.2,0,1,2023
Mohammad Wasim (1) (PAK),12,12,93.4,5,513,19,31-Mar,27,5.47,29.5,0,0,2023
K Mahato (NEP),1,1,10,0,55,2,Feb-55,27.5,5.5,30,0,0,2023
Shubman Gill (IND),29,1,2,0,11,0,-,-,5.5,-,0,0,2023
B Ward (JER),5,5,40.1,2,221,6,Apr-39,36.83,5.5,40.1,1,0,2023
Shoriful Islam (BAN),19,19,144.4,9,796,32,21-Apr,24.87,5.5,27.1,1,0,2023
MADI Hemantha (SL),5,4,35,0,193,2,Feb-49,96.5,5.51,105,0,0,2023
HH Pandya (IND),20,19,94.3,7,522,21,3-Mar,24.85,5.52,27,0,0,2023
Tanzim Hasan Sakib (BAN),5,5,36.3,3,202,8,14-Mar,25.25,5.53,27.3,0,0,2023
WD Parnell (SA),4,4,32.2,2,179,2,30-Jan,89.5,5.53,97,0,0,2023
RE van der Merwe (NED),8,8,56,0,311,6,Feb-34,51.83,5.55,56,0,0,2023
DN Wellalage (SL),12,11,81.2,2,452,12,May-40,37.66,5.55,40.6,0,1,2023
Mustafizur Rahman (BAN),21,21,161.3,6,898,21,Apr-44,42.76,5.56,46.1,1,0,2023
Noor Ahmad (AFG),6,6,55,1,306,7,Mar-49,43.71,5.56,47.1,0,0,2023
Mukesh Kumar (IND),6,6,39,4,217,5,30-Mar,43.4,5.56,46.8,0,0,2023
HB Shipley (NZ),8,8,64.3,4,359,15,31-May,23.93,5.56,25.8,0,1,2023
NT Tilak Varma (IND),4,2,7,0,39,0,-,-,5.57,-,0,0,2023
AU Rashid (ENG),16,16,141.4,1,791,30,Apr-45,26.36,5.58,28.3,1,0,2023
Shaheen Shah Afridi (PAK),21,21,180.4,9,1010,42,May-54,24.04,5.59,25.8,1,1,2023
Adhitya Shetty (UAE),1,1,10,1,56,1,Jan-56,56,5.6,60,0,0,2023
Basil Hameed (UAE),9,6,20,2,112,3,20-Feb,37.33,5.6,40,0,0,2023
Ali Naseer (UAE),9,9,70.2,2,396,10,Feb-37,39.6,5.63,42.2,0,0,2023
GH Dockrell (IRE),20,12,65,0,367,13,Mar-43,28.23,5.64,30,0,0,2023
KMA Paul (WI),7,7,46.1,1,261,9,Mar-34,29,5.65,30.7,0,0,2023
Rameez Shahzad (UAE),11,1,3,0,17,0,-,-,5.66,-,0,0,2023
CN Greaves (SCOT),11,11,62.2,1,354,17,May-53,20.82,5.67,22,1,1,2023
EJB Miles (JER),4,4,29,1,165,4,Feb-32,41.25,5.68,43.5,0,0,2023
Karan KC (NEP),20,20,149.4,14,853,31,May-61,27.51,5.69,28.9,2,1,2023
SM Sharma (UAE),8,8,48,3,274,10,Mar-37,27.4,5.7,28.8,0,0,2023
BC Fortuin (SA),2,2,18,0,103,4,Feb-46,25.75,5.72,27,0,0,2023
IS Sodhi (NZ),14,12,102,2,585,15,Jun-39,39,5.73,40.8,0,1,2023
Shadab Khan (PAK),17,16,129.4,3,745,15,27-Apr,49.66,5.74,51.8,1,0,2023
PJ Cummins (AUS),13,13,107.3,1,618,17,Mar-51,36.35,5.74,37.9,0,0,2023
Najmul Hossain Shanto (BAN),27,5,12.2,0,71,1,10-Jan,71,5.75,74,0,0,2023
MM Ali (ENG),15,15,103,2,593,16,Apr-50,37.06,5.75,38.6,1,0,2023
Faheem Ashraf (PAK),3,3,25,1,144,3,Feb-43,48,5.76,50,0,0,2023
SA Abbott (AUS),10,10,84.3,2,487,13,23-Mar,37.46,5.76,39,0,0,2023
A Zampa (AUS),20,20,173,4,1000,38,8-Apr,26.31,5.78,27.3,5,0,2023
S Bau (PNG),13,5,34.2,0,199,3,Feb-38,66.33,5.79,68.6,0,0,2023
LH Ferguson (NZ),18,17,134.1,5,781,18,19-Mar,43.38,5.82,44.7,0,0,2023
YS Chahal (IND),2,2,17.2,0,101,3,Feb-43,33.66,5.82,34.6,0,0,2023
Jasdeep Singh (USA),10,10,91.4,2,536,10,Feb-33,53.6,5.84,55,0,0,2023
PVD Chameera (SL),6,6,47.2,3,277,8,Apr-63,34.62,5.85,35.5,1,0,2023
LV van Beek (NED),16,16,143.1,7,838,24,24-Apr,34.91,5.85,35.7,2,0,2023
Agha Salman (PAK),18,13,63,0,369,4,Feb-42,92.25,5.85,94.5,0,0,2023
Mohammad Nadeem (OMA),9,6,29.4,0,174,2,Feb-36,87,5.86,89,0,0,2023
O Thomas (WI),2,2,15,0,88,2,Feb-57,44,5.86,45,0,0,2023
LM Jongwe (ZIM),6,2,8,1,47,2,21-Jan,23.5,5.87,24,0,0,2023
GJ Delany (IRE),8,5,36,0,212,3,Feb-52,70.66,5.88,72,0,0,2023
R Shepherd (WI),10,10,70.5,2,418,14,Mar-37,29.85,5.9,30.3,0,0,2023
NT Ellis (AUS),5,5,41,1,242,7,13-Feb,34.57,5.9,35.1,0,0,2023
Iftikhar Ahmed (PAK),18,13,72.4,0,429,8,Mar-50,53.62,5.9,54.5,0,0,2023
AK Markram (SA),24,15,72.5,1,431,7,Feb-40,61.57,5.91,62.4,0,0,2023
DG Blampied (JER),3,3,13,1,77,0,-,-,5.92,-,0,0,2023
T Shamsi (SA),12,12,95.2,1,565,22,Apr-60,25.68,5.92,26,2,0,2023
Fazalhaq Farooqi (AFG),17,17,118.5,7,705,21,Apr-34,33.57,5.93,33.9,1,0,2023
CBRLS Kumara (SL),13,13,83.3,4,496,21,22-Mar,23.61,5.94,23.8,0,0,2023
MG Neser (AUS),2,2,20,1,119,1,Jan-59,119,5.95,120,0,0,2023
Gulbadin Naib (AFG),4,4,29,1,173,8,Apr-60,21.62,5.96,21.7,1,0,2023
GD Phillips (NZ),21,16,65,1,388,9,Mar-37,43.11,5.96,43.3,0,0,2023
Usama Mir (PAK),12,12,106,0,634,15,Apr-43,42.26,5.98,42.4,1,0,2023
KP Meiyappan (UAE),23,23,133.2,5,798,27,Apr-45,29.55,5.98,29.6,3,0,2023
KU Carty (WI),10,1,3,0,18,0,-,-,6,-,0,0,2023
TLW Cooper (NED),3,1,2,0,12,0,-,-,6,-,0,0,2023
SE Rutherford (WI),3,1,4,0,24,1,24-Jan,24,6,24,0,0,2023
Sabir Ali (UAE),2,2,3,0,18,1,10-Jan,18,6,18,0,0,2023
MA Wood (ENG),9,9,66,1,397,8,Feb-34,49.62,6.01,49.5,0,0,2023
Ayaan Khan (OMA),9,9,58,1,349,7,Feb-46,49.85,6.01,49.7,0,0,2023
AF Milne (NZ),7,7,53.3,1,322,12,Apr-34,26.83,6.01,26.7,1,0,2023
R Ravindra (NZ),25,20,139.1,1,839,18,Apr-60,46.61,6.02,46.3,1,0,2023
OF Smith (WI),4,4,23,0,139,4,Feb-40,34.75,6.04,34.5,0,0,2023
L Ngidi (SA),16,16,124.3,7,753,22,Apr-51,34.22,6.04,33.9,2,0,2023
Haris Rauf (PAK),22,22,178.5,5,1086,40,18-May,27.15,6.07,26.8,2,1,2023
BG Lister (NZ),3,3,26,0,158,4,Mar-69,39.5,6.07,39,0,0,2023
JA Clarkson (NZ),3,3,12,0,73,3,24-Feb,24.33,6.08,24,0,0,2023
Hasan Mahmud (BAN),16,15,116.1,4,707,22,May-32,32.13,6.08,31.6,0,1,2023
SR Taylor (USA),8,5,32,1,195,4,Mar-53,48.75,6.09,48,0,0,2023
AAP Atkinson (ENG),9,9,63.4,0,388,11,28-Feb,35.27,6.09,34.7,0,0,2023
D Madushanka (SL),15,15,122.2,5,746,31,May-80,24.06,6.09,23.6,1,1,2023
A Nao (PNG),3,3,20,0,122,1,Jan-75,122,6.1,120,0,0,2023
W O'Rourke (NZ),3,3,18.5,0,115,5,Mar-47,23,6.1,22.6,0,0,2023
CAK Rajitha (SL),21,21,159.3,3,974,26,Apr-50,37.46,6.1,36.8,2,0,2023
RJW Topley (ENG),9,9,70.4,3,432,13,Apr-43,33.23,6.11,32.6,1,0,2023
C Karunaratne (SL),8,7,49.5,1,305,8,Apr-43,38.12,6.12,37.3,1,0,2023
Vikramjit Singh (NED),19,12,36,1,221,7,12-Feb,31.57,6.13,30.8,0,0,2023
BJ McCarthy (IRE),6,6,49.4,3,305,9,Mar-56,33.88,6.14,33.1,0,0,2023
RN Bhatia (UAE),1,1,7,0,43,1,Jan-43,43,6.14,42,0,0,2023
Mahmudullah (BAN),14,5,12.5,0,79,0,-,-,6.15,-,0,0,2023
MA Starc (AUS),14,14,121.5,3,750,25,May-53,30,6.15,29.2,0,1,2023
PA van Meekeren (NED),14,14,115.2,3,710,18,23-Apr,39.44,6.15,38.4,1,0,2023
HT Tector (IRE),20,6,24,0,148,2,5-Jan,74,6.16,72,0,0,2023
Gulsan Jha (NEP),15,15,79.3,0,491,13,28-Mar,37.76,6.17,36.6,0,0,2023
Bilal Khan (OMA),9,9,82.2,6,509,19,May-55,26.78,6.18,26,1,1,2023
RP Burl (ZIM),15,8,36.1,0,224,2,18-Jan,112,6.19,108.5,0,0,2023
AM Hardie (AUS),1,1,10,0,62,2,Feb-62,31,6.2,30,0,0,2023
VM Nyauchi (ZIM),2,2,15,0,93,2,Feb-65,46.5,6.2,45,0,0,2023
MJ Potts (ENG),3,2,10,0,62,2,Feb-47,31,6.2,30,0,0,2023
MP Stoinis (AUS),13,12,66.1,2,412,11,20-Feb,37.45,6.22,36,0,0,2023
C Campher (IRE),19,16,79.1,1,493,13,Apr-37,37.92,6.22,36.5,1,0,2023
AS Joseph (WI),12,12,103.4,3,646,21,Mar-50,30.76,6.23,29.6,0,0,2023
B Shikongo (NAM),10,10,67,4,420,13,Mar-42,32.3,6.26,30.9,0,0,2023
DJ Mitchell (NZ),26,9,32.3,1,204,9,Mar-32,22.66,6.27,21.6,0,0,2023
SN Thakur (IND),16,15,87.5,2,552,21,Apr-37,26.28,6.28,25,1,0,2023
Zia-ur-Rehman (AFG),1,1,3.3,0,22,0,-,-,6.28,-,0,0,2023
Hasan Ali (PAK),6,6,51,2,321,9,Apr-71,35.66,6.29,34,1,0,2023
Y Cariah (WI),11,11,74.3,1,470,10,26-Feb,47,6.3,44.7,0,0,2023
A Nortje (SA),5,5,37,1,234,8,Apr-62,29.25,6.32,27.7,1,0,2023
Aqib Ilyas (OMA),8,6,28,0,178,1,Jan-52,178,6.35,168,0,0,2023
SSB Magala (SA),5,5,39,4,248,13,May-43,19.07,6.35,18,0,1,2023
LB Williams (SA),3,3,27.4,2,176,4,Feb-56,44,6.36,41.5,0,0,2023
K Phillip (USA),2,2,16.3,1,105,3,Mar-56,35,6.36,33,0,0,2023
KV Morea (PNG),6,6,35,2,223,5,26-Feb,44.6,6.37,42,0,0,2023
M Jansen (SA),20,20,155.1,7,989,33,May-39,29.96,6.37,28.2,0,1,2023
Saqib Zulfiqar (NED),8,8,39,1,249,7,Feb-43,35.57,6.38,33.4,0,0,2023
A Ashok (NZ),2,2,10.1,1,65,1,Jan-63,65,6.39,61,0,0,2023
Muhammad Jawadullah (UAE),5,5,37.1,0,239,6,Mar-46,39.83,6.43,37.1,0,0,2023
KAR Hodge (WI),3,3,16,0,103,2,Feb-46,51.5,6.43,48,0,0,2023
AW Hawkins-Kay (JER),1,1,9,0,58,1,Jan-58,58,6.44,54,0,0,2023
Azmatullah Omarzai (AFG),15,15,68.4,2,445,9,Feb-52,49.44,6.48,45.7,0,0,2023
K Birkenstock (NAM),8,7,33,0,214,2,Jan-34,107,6.48,99,0,0,2023
G Coetzee (SA),14,14,111,1,720,31,Apr-44,23.22,6.48,21.4,2,0,2023
JE Root (ENG),13,3,14.1,0,92,1,19-Jan,92,6.49,85,0,0,2023
Aaron Jones (USA),10,2,4,0,26,0,-,-,6.5,-,0,0,2023
Fareed Ahmad (AFG),4,4,28,0,182,6,Feb-43,30.33,6.5,28,0,0,2023
Hamza Tahir (SCOT),2,2,4,0,26,0,-,-,6.5,-,0,0,2023
Zaman Khan (PAK),1,1,6,1,39,0,-,-,6.5,-,0,0,2023
BFW de Leede (NED),16,15,125.4,1,819,31,May-52,26.41,6.51,24.3,1,1,2023
JB Little (IRE),14,14,112,2,731,23,Jun-36,31.78,6.52,29.2,1,1,2023
BM Tickner (NZ),7,7,52.5,2,345,7,Mar-76,49.28,6.52,45.2,0,0,2023
SM Curran (ENG),14,14,92.1,5,602,17,29-Apr,35.41,6.53,32.5,1,0,2023
Karim Janat (AFG),2,2,9,0,59,0,-,-,6.55,-,0,0,2023
B White (IRE),2,2,18,0,118,1,Jan-59,118,6.55,108,0,0,2023
Naveen-ul-Haq (AFG),8,8,53.4,1,352,8,Feb-47,44,6.55,40.2,0,0,2023
A Neill (SCOT),1,1,7,1,46,1,Jan-46,46,6.57,42,0,0,2023
C Green (AUS),10,8,50.4,0,334,5,2/103,66.8,6.59,60.8,0,0,2023
Shariz Ahmad (NED),10,9,52.4,2,348,11,May-43,31.63,6.6,28.7,0,1,2023
BA Carse (ENG),5,4,30,0,200,3,Jan-40,66.66,6.66,60,0,0,2023
Soumya Sarkar (BAN),5,3,14,1,94,3,18-Mar,31.33,6.71,28,0,0,2023
KA Jamieson (NZ),5,4,32,3,215,3,Feb-32,71.66,6.71,64,0,0,2023
Mohammad Saleem (AFG),2,2,10.2,0,70,0,-,-,6.77,-,0,0,2023
Mohammad Hasnain (PAK),1,1,6.1,0,42,0,-,-,6.81,-,0,0,2023
JNT Seales (WI),3,3,18,0,124,2,21-Jan,62,6.88,54,0,0,2023
AL Phehlukwayo (SA),4,4,21,0,145,4,15-Jan,36.25,6.9,31.5,0,0,2023
T Sangha (AUS),2,2,18,0,125,2,Jan-61,62.5,6.94,54,0,0,2023
A Athanaze (WI),7,1,1,0,7,0,-,-,7,-,0,0,2023
JA Duffy (NZ),4,4,31,0,217,7,Mar-51,31,7,26.5,0,0,2023
TL Chatara (ZIM),8,8,59.4,2,418,13,Mar-51,32.15,7,27.5,0,0,2023
TL Chivanga (ZIM),3,2,13.5,0,98,1,Jan-47,98,7.08,83,0,0,2023
J Jarvis (SCOT),3,3,10,0,71,0,-,-,7.1,-,0,0,2023
Fayyaz Butt (OMA),7,7,57,3,409,12,Apr-79,34.08,7.17,28.5,1,0,2023
Umran Malik (IND),5,5,28,0,201,6,Mar-57,33.5,7.17,28,0,0,2023
M Prasidh Krishna (IND),3,3,20,0,144,4,Feb-56,36,7.2,30,0,0,2023
TG Southee (NZ),10,10,78.1,1,565,17,Mar-56,33.23,7.22,27.5,0,0,2023
